Name	Place	Type	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District
FHC Arthat 	Arthat 	Family Health Centre	04885-223250 	0	U 	phcarthat@gmail.com 	Thrissur 
FHC Porkulam 	Porkulam 	Family Health Centre	04885-223561 	0	R 	phcporkulam.porkulam@gmail.com 	Thrissur 
FHC Kandangodu 	Kandangodu 	Family Health Centre	04885-267272 	0	R 	phckadangode@yahoo.in,phckadangode@gmail .com 	Thrissur 
FHC Thaikkad 	Thaikkad 	Family Health Centre	0487-2742535 	0	U 	phcthaikkad@gmail.com 	Thrissur 
FHC Kaipamangalam 	Kaipamangalam 	Family Health Centre	0480-2845566 	12	R 	kaipamangalamphc@gmail.com 	Thrissur 
FHC Chamakala 	Chamakala 	Family Health Centre	0480-2835672 	0	R 	phcchamakala@gmail.com 	Thrissur 
FHC Padinjare Vemballoor Edavilangu 	Padinjare Vemballoor Edavilangu 	Family Health Centre	0480-2854118 0480-2815506 	0 0 	R R 	phcp.vemballor@gmail.com phcedavilangu@rediffmail.com,phcedavilange@ gmail.com 	Thrissur 
FHC Nalukettu 	Nalukettu 	Family Health Centre	0480-2730136 	0	R 	phcnalukettu@gmail.com 	Thrissur 
FHC Melur 	Melur 	Family Health Centre	0480-2739735 	0	R 	phcmeloor@gmail.com 	Thrissur 
FHC Vettilappara 	Vettilappara 	Family Health Centre	0480-2769181 	0	R 	phcvettilapara@gmail.com 	Thrissur 
FHC Poomala 	Poomala 	Family Health Centre	0487-2203288 	0	R 	poomalaphc@gmail.com 	Thrissur 
FHC Adat 	Adat 	Family Health Centre	0487-2304928 	0	R 	phcadat@gmail.com 	Thrissur 
FHC Nattika 	Nattika 	Family Health Centre	0487-2393153 	24	R 	nattikaphc@gmail.com 	Thrissur 
FHC Mullurkkara 	Mullurkkara 	Family Health Centre	04884-271918 	0	R 	phcmullurkara@gmail.com 	Thrissur 
FHC Kuthampully 	Kuthampully 	Family Health Centre	04884-283745 	0	R 	phckuthampully@gmail.com 	Thrissur 
FHC Thonoorkara 	Thonoorkara 	Family Health Centre	04884-250828 	0	R 	phcthonoorkara@gmail.com 	Thrissur 
FHC Vallatholnagar 	Vallatholnagar 	Family Health Centre	04884-264264 	0	R 	phcvnagar@gmail.com 	Thrissur 
FHC Elavally 	Elavally 	Family Health Centre	0487-2645117 	0	R 	elavallyphc@gmail.com 	Thrissur 
FHC Thrikkur 	Thrikkur 	Family Health Centre	0487-2351560 	0	R 	phcthrikkur@gmail.com 	Thrissur 
FHC Varandarapilly Padiyur Vellorkkara Deshamangalam 	Varandarapilly Padiyur Vellorkkara Deshamangalam 	Family Health Centre	0480-2762464 0480-2642608 0480-2867488 04884-280346 	0 0 0 24 	R R R R 	phcvply@yahoo.in,phcvarantharappilly@gmail.c om phcpadiyoor@rediff.com,phcpadiyoor@gmail.c om phcvelookkara@yahoo.in,phcvelookkara@gmail .com desamangalamphc@yahoo.co.in,fhcdesamangal am@gmail.com 	Thrissur 
FHC Punnayur 	Punnayur 	Family Health Centre	0487-2616542 	0	R	phcpnr@gmail.com 	Thrissur 
FHC Karalam 	Karalam 	Family Health Centre	0480-2887810 	0	R	karalamphc@gmail.com 	Thrissur 
FHC Poyya 	Poyya 	Family Health Centre	0480-2893131 	24	R	phcpoyya@gmail.com 	Thrissur 
FHC Koolimuttom 	Koolimuttom 	Family Health Centre	0480-2642724 	0	R	phckoolimuttam@gmail.com 	Thrissur 
FHC Pariyaram 	Pariyaram 	Family Health Centre	0480-2748329 	0	R	phcpariyaram@gmail.com 	Thrissur 
FHC Puthur 	Puthur 	Family Health Centre	0487-2688865 	0	R	phcputhur@gmail.com 	Thrissur 
FHC Vilvattom 	Vilvattom 	Family Health Centre	0487-2694535 	0	U	bphcvilvattom@gmail.com 	Thrissur 
FHC Mundoor 	Mundoor 	Family Health Centre	0487-2214522 	0	R 	mundurphc@yahoo.com,mundurphc@gmail.co m 	Thrissur 
FHC Paralam 	Paralam 	Family Health Centre	0487-2277960 	10	R	phcparalam@gmail.com 	Thrissur 
FHC Veloor 	Veloor 	Family Health Centre	04885-288885 	24	R	phcvelur@gmail.com 	Thrissur 
FHC Thekkumkara 	Thekkumkara 	Family Health Centre	04884-267594 	0	R	phcthekkumkara@gmail.com 	Thrissur 
FHC Elanadu 	Elanadu 	Family Health Centre	04884-288574 	0	R	phcelanad2009@gmail.com 	Thrissur 
FHC Manalur 	Manalur 	Family Health Centre	0487-2626001 	0	R 	phcmanalur@rediffmail.com,fhcmanalur@gmail .com 	Thrissur 
FHC Thalikkulam 	Thalikkulam 	Family Health Centre	0487-2604510 	0	R	phcthalikulam@gmail.com 	Thrissur 
FHC Venkitengu 	Venkitengu 	Family Health Centre	0487-2262345 	24	R	phc.vkg@gmail.com 	Thrissur 
FHC Nenmanikkara 	Nenmanikkara 	Family Health Centre	0480-2752048 	0	R	phcnenmanikkara@gmail.com 	Thrissur 
FHC Poomangalam 	Poomangalam 	Family Health Centre	0480-2864542 	20	R 	phcpoomangalam@yahoo.in,phcpoomangalam @gmail.com 	Thrissur 
FHC Chalavara 	Chalavara 	Family Health Centre	0466-2228687 	20	R 	bphcchalavara@gmail.com 	Palakkad
FHC Nanniyodu 	Nanniyodu 	Family Health Centre	04923-232252 	22	R 	phcnanniode@yahoo.com 	Palakkad
FHC Parali 	Parali 	Family Health Centre	0491-2858400 	18	R 	phcparali@gmail.com 	Palakkad
FHC Sholayur 	Sholayur 	Family Health Centre	04924-209356 	24	R 	phcsholayoor@gmail.com 	Palakkad
FHC Elumbilassery 	Elumbilassery 	Family Health Centre	0466-2269925 	24	R 	phcelambulassery@gmail.com 	Palakkad
FHC Keralassery 	Keralassery 	Family Health Centre	0491-2841070 	10	R 	phckeralasserypkd@gmail.com 	Palakkad
FHC Pallipuram 	Pallipuram 	Family Health Centre	0466-2239756 	24	R 	phcpallippuram@gmail.com 	Palakkad
FHC Peringottukurissi 	Peringottukurissi 	Family Health Centre	04922-217340 	24	R 	mophcperingottukurssi@gmail.com 	Palakkad
FHC Kavasserry 	Kavasserry 	Family Health Centre	04922-237865 	24	R 	phckavassery@gmail.com, 	Palakkad
FHC Kunissery 	Kunissery 	Family Health Centre	04922-235900 	0	R 	phckunisery@gmail.com 	Palakkad
FHC Kapoor 	Kapoor 	Family Health Centre	0466-2277676 	24	R 	kappurphc@gmail.com 	Palakkad
FHC Kumbidi 	Kumbidi 	Family Health Centre	0466-2254400 	0	R 	phckumbidi@gmail.com 	Palakkad
FHC Pattithara 	Pattithara 	Family Health Centre	0466-2374080 	0	R 	phcpattithara@gmail.com 	Palakkad
FHC Peruvemba 	Peruvemba 	Family Health Centre	04923-251380 	24	R 	mophcperuvemba@gmail.com 	Palakkad
FHC Vannamada 	Vannamada 	Family Health Centre	04923-272585 	24	R 	phcvannamada@gmail.com 	Palakkad
FHC Nallepilly 	Nallepilly 	Family Health Centre	04923-282739 	0	R 	mophcnpy@gmail.com 	Palakkad
FHC Perumatty 	Perumatty 	Family Health Centre	04923-218347 	0	R 	phcperumatty12@gmail.com 	Palakkad
FHC Elavancherry 	Elavancherry 	Family Health Centre	04923-267167 	10	R 	phcelevanchery@gmail.com 	Palakkad
FHC Ayalur 	Ayalur 	Family Health Centre	04923-244773 	0	R 	phcayalur@gmail.com 	Palakkad
FHC Vadavannur 	Vadavannur 	Family Health Centre	04923-216145 	0	R 	phcvadavannur@gmail.com 	Palakkad
FHC Muthuthala 	Muthuthala 	Family Health Centre	0466-2317085 	0	R 	phcmuthuthala@gmail.com 	Palakkad
FHC Pallassena 	Pallassena 	Family Health Centre	04923-268222 	0	R 	pallassanaphc@gmail.com 	Palakkad
FHC Thenkurrissi 	Thenkurrissi 	Family Health Centre	04922-284993 	24	R 	mophcthenkurussi@gmail.com 	Palakkad
FHC Kannadi 	Kannadi 	Family Health Centre	0492-2273566 	0	R 	phckannadi@gmail.com 	Palakkad
FHC Muthalamada 	Muthalamada 	Family Health Centre	04923-275095 	10	R 	medicalofficermmda@gmail.com 	Palakkad
FHC Puducode 	Puducode 	Family Health Centre	04922-267243 	0	R 	phcputhucode@gmail.com 	Palakkad
FHC Anakatty 	Anakatty 	Family Health Centre	Nil 	24	R 	phcanakkatty@gmail.com 	Palakkad
FHC Kottopadam 	Kottopadam 	Family Health Centre	04924-263522 	0	R 	phckottopadam@gmail.com 	Palakkad
FHC Thenkara 	Thenkara 	Family Health Centre	04924- 226610 	0	R 	phcthenkara@gmail.com 	Palakkad
FHC Kanhirapuzha 	Kanhirapuzha 	Family Health Centre	04924-238477 	0	R 	mophckpuzha@gmail.com 	Palakkad
FHC Karakurussy 	Karakurussy 	Family Health Centre	04924-249301 	0	R 	phckarakurissi@gmail.com 	Palakkad
FHC Mannoor 	Mannoor 	Family Health Centre	0491-2873400 	10	R 	phcmannurpkd@gmail.com 	Palakkad
FHC Perur 	Perur 	Family Health Centre	0491-2872803 	10	R 	kelappanphcperur@gmail.com 	Palakkad
FHC Pookottukavu 	Pookottukavu 	Family Health Centre	0466-2241216 	0	R 	phcpookkottukavu@yahoo.com 	Palakkad
FHC Vaniyamkulam 	Vaniyamkulam 	Family Health Centre	0466-2227511 	0	R 	phcvkm@gmail.com 	Palakkad
FHC Vellinezhy 	Vellinezhy 	Family Health Centre	0466-2285567 	0	R 	phcvly@gmail.com 	Palakkad
FHC Thrikadeeri 	Thrikadeeri 	Family Health Centre	0466-2380385 	0	R 	phcthrikkadeeri@yahoo.co.in 	Palakkad
FHC Marutharoad 	Marutharoad 	Family Health Centre	0491-2536866 	0	R 	mophcmarutharoad@yahoo.in 	Palakkad
FHC Puthusseri 	Puthusseri 	Family Health Centre	0491-2569470 	0	R 	mophcputhussery@gmail.com 	Palakkad
FHC Mundur 	Mundur 	Family Health Centre	0491-2833980 	0	R 	mophcmundur@yahoo.in 	Palakkad
FHC Akathethara 	Akathethara 	Family Health Centre	0491-2554935 	0	R 	mophcakathethara@yahoo.co.in 	Palakkad
FHC Malampuzha 	Malampuzha 	Family Health Centre	0491-2816011 	14	R 	mophcmalampuzha@yahoo.in 	Palakkad
FHC Vallapuzha 	Vallapuzha 	Family Health Centre	0466-2236366 	10	R 	phcvallapuzha@gmail.com 	Palakkad
FHC Kottayi 	Kottayi 	Family Health Centre	04922-285606 	16	R 	mophckottayi@gmail.com 	Palakkad
FHC Kannambra 	Kannambra 	Family Health Centre	04922-267147 	20	R 	phckannambra@gmail.com 	Palakkad
FHC Pudur 	Pudur 	Family Health Centre	04924-211185 	10	R 	phcpudur@gmail.com 	Palakkad
FHC Kumaramputhur 	Kumaramputhur 	Family Health Centre	04924-232733 	24	R 	phckumaramputhur@gmail.com 	Palakkad
FHC Sreekrishnapuram 	Sreekrishnapuram 	Family Health Centre	0466-2261744 	18	R 	phcskp@gmail.com 	Palakkad
FHC Kollamkode 	Kollamkode 	Family Health Centre	04923-264352 	24	R 	mophckollengod@gmail.com 	Palakkad
FHC Kalladikode 	Kalladikode 	Family Health Centre	04924-247473 	20	R 	mophcklkd@gmail.com 	Palakkad
FHC Nellaya 	Nellaya 	Family Health Centre	0466-2382011 	0	R 	phcnellaya@gmail.com 	Palakkad
FHC Kumaranellur 	Kumaranellur 	Family Health Centre	0466-2277053 	24	R 	phckumaranallur@gmail.com 	Palakkad
FHC Adakkaputhur 	Adakkaputhur 	Family Health Centre	0466-2285676 	24	R 	mophcadakaputhur@gmail.com 	Palakkad
FHC Pudupariyaram 	Pudupariyaram 	Family Health Centre	0491-2554675 	24	R 	phcpuduppariyaram@yahoo.in 	Palakkad
FHC Ongallur 	Ongallur 	Family Health Centre	0466-234665 	10	R 	phcongallur@gmail.com 	Palakkad
FHC Kuthannur 	Kuthannur 	Family Health Centre	04922-288145 	0	R 	mophckuthanur@gmail.com 	Palakkad
FHC Mathur 	Mathur 	Family Health Centre	04922-215333 	0	R 	mophcmathur@gmail.com 	Palakkad
FHC Ozhalapathi 	Ozhalapathi 	Family Health Centre	04923-235271 	30	R 	ozhalapathyphc@gmail.com 	Palakkad
FHC Mankara 	Mankara 	Family Health Centre	0491-2874970 	0	R 	fhcmankara2019@gmail.com 	Palakkad
FHC Kizhakkancherry 	Kizhakkancherry 	Family Health Centre	04922-204729 	24	R 	phckizhakkancherry@gmail.com 	Palakkad
FHC Vandazhi 	Vandazhi 	Family Health Centre	04922-209290 	0	R 	phcvandazhy@gmail.com 	Palakkad
FHC Puzhakkattiri 	Puzhakkattiri 	Family Health Centre	04933-256098 	20	R 	medicalofficer.puzhakkattiri@ gmail.com 	Malappuram
FHC Thrikkannapuram 	Thrikkannapuram 	Family Health Centre	0494-2687505 	12	R 	mothavanur@gmail.com 	Malappuram
FHC Valavannur 	Valavannur 	Family Health Centre	0494-2546906 	16	R 	mochcvalavannur@gmail.com 	Malappuram
FHC Kottakkal 	Kottakkal 	Family Health Centre	0483-2744400 	24	U 	phckottakkal@gmail.com 	Malappuram
FHC Pothukal 	Pothukal 	Family Health Centre	04931-240318 	24	R 	mophcpothukal@gmail.com 	Malappuram
FHC Kavannoor 	Kavannoor 	Family Health Centre	0483-2869021 	10	R 	phckavanur@gmail.com 	Malappuram
FHC Palapetty 	Palapetty 	Family Health Centre	0494-2678397 	24	R 	phcpalapetty@gmail.com 	Malappuram
FHC Vazhakkad 	Vazhakkad 	Family Health Centre	0483-2728683 	8	R 	phcvazhakkad@gmail.com 	Malappuram
FHC Thevarkadappuram 	Thevarkadappuram 	Family Health Centre	0494-2427155 	10	R 	mophctkadappuram@gmail.com 	Malappuram
FHC Karulai 	Karulai 	Family Health Centre	04931-271160 	10	R 	mochckarulai@gmail.com 	Malappuram
FHC Nannambra 	Nannambra 	Family Health Centre	0494-2483801 	0	R 	phcnannambra@gmail.com 	Malappuram
FHC Perumannaklari 	Perumannaklari 	Family Health Centre	0483-2750388 	10	R 	mophcperumannaklari@gmail.com 	Malappuram
FHC Iringalloor 	Iringalloor 	Family Health Centre	0494-2459309 	0	R 	iringalloorphc@gmail.com 	Malappuram
FHC Moorkkanad 	Moorkkanad 	Family Health Centre	04933-202200 	10	R 	phcmoorkkanad@gmail.com 	Malappuram
FHC Angadipuram 	Angadipuram 	Family Health Centre	04933-218935 	0	R 	mophcangadippuram@gmail.com 	Malappuram
FHC Koottilangadi 	Koottilangadi 	Family Health Centre	04933-241166 	0	R 	koottilangadiphc@gmail.com 	Malappuram
FHC Nannammukku 	Nannammukku 	Family Health Centre	0494-2656654 	0	R 	phcnannamukku@gmail.com 	Malappuram
FHC Veliyancode 	Veliyancode 	Family Health Centre	0494-2677583 	0	R 	mophcveliyancode@gmail.com 	Malappuram
FHC Marancherry (New) 	Marancherry (New) 	Family Health Centre	0494-2676899 	10	R 	bphcmarancherynew@gmail.com 	Malappuram
FHC Trippanachi 	Trippanachi 	Family Health Centre	0483-2821460 	10	R 	mophctrippanachi@gmail.com 	Malappuram
FHC Edakkara 	Edakkara 	Family Health Centre	04931-276500 	0	R 	mophcedakkara@gmail.com 	Malappuram
FHC Moothedam 	Moothedam 	Family Health Centre	04931-272250 	0	R 	mophcmoothedam@gmail.com 	Malappuram
FHC Kalady 	Kalady 	Family Health Centre	0494-2122022 	0	R 	mophckaladi@gmail.com 	Malappuram
FHC Kootayi 	Kootayi 	Family Health Centre	0494-2631888 	0	R 	mophckoottayi@gmail.com 	Malappuram
FHC Triprangode 	Triprangode 	Family Health Centre	0494-2564717 	0	R 	mophctriprangode@gmail.com 	Malappuram
FHC Chaliyar 	Chaliyar 	Family Health Centre	04931-206351 	0	R 	chaliyarphc@gmail.com 	Malappuram
FHC Odakkayam 	Odakkayam 	Family Health Centre	0483-2844500 	0	R 	mophcodakkayam@gmail.com 	Malappuram
FHC Trikkalangode 	Trikkalangode 	Family Health Centre	0483-2707447 	0	R 	phcthrikkalangode@gmail.com 	Malappuram
FHC Elamkulam 	Elamkulam 	Family Health Centre	04933-230156 	0	R 	mophcelamkulam@gmail.com 	Malappuram
FHC Chemmalasseri 	Chemmalasseri 	Family Health Centre	04933-269010 	0	R 	mophcchemmalassery@yahoo.in 	Malappuram
FHC Cherukavu 	Cherukavu 	Family Health Centre	0483-2833680 	0	R 	phccherukavu@gmail.com 	Malappuram
FHC Thalakkad 	Thalakkad 	Family Health Centre	0494-2425460 	0	R 	mophcthalakkad@gmail.com 	Malappuram
FHC Marakkara 	Marakkara 	Family Health Centre	0494-2618888 	10	R 	mophcmarakkara@gmail.com 	Malappuram
FHC Moonniyur 	Moonniyur 	Family Health Centre	0494-2476709 	10	R 	moonniyurphc@gmail.com 	Malappuram
FHC Thenippalam 	Thenippalam 	Family Health Centre	0494-2434700 	0	R 	phcthechippalam@rediffmail.com 	Malappuram
FHC Ponmundam 	Ponmundam 	Family Health Centre	0494-2588300 	0	R 	phcponmundam@gmail.com 	Malappuram
FHC Thanalur 	Thanalur 	Family Health Centre	0494-2582700 	0	R 	phctnlr@gmail.com 	Malappuram
FHC Porur 	Porur 	Family Health Centre	04931-211630 	0	R 	phcporur@gmail.com 	Malappuram
FHC Thiruvaly 	Thiruvaly 	Family Health Centre	04931-248025 	0	R 	phcthiruvali@gmail.com 	Malappuram
FHC Thuvvur 	Thuvvur 	Family Health Centre	04931-284949 	0	R 	phctuvvur@gmail.com 	Malappuram
FHC Kuzhimanna 	Kuzhimanna 	Family Health Centre	0483-2755220 	10	R 	mophckuzhimanna@gmail.com 	Malappuram
FHC Vazhikkadavu 	Vazhikkadavu 	Family Health Centre	04931-278450 	10	R 	phcvazhikkadavu@gmail.com 	Malappuram
FHC Pang 	Pang 	Family Health Centre	04933-244380 	19	R 	mophcpang@gmail.com 	Malappuram
FHC Thazhekkode 	Thazhekkode 	Family Health Centre	04933-252151 	0	R 	tzkdphc@gmail.com 	Malappuram
FHC Athanikkal 	Athanikkal 	Family Health Centre	0494-2473960 	0	R 	mophcathanikkal@gmail.com 	Malappuram
FHC Edayur 	Edayur 	Family Health Centre	0494-2648440 	10	R 	mophcedayoor@gmail.com 	Malappuram
FHC 		Family Health Centre					Malappuram
FHC Thirunavaya 	Thirunavaya 	Family Health Centre	0494-2600109 	0	R 	medicalofficerthirunavaya@gmail.com. 	Malappuram
FHC Chokkad 	Chokkad 	Family Health Centre	04931-215200 	25	R 	phcchokkad@gmail.com 	Malappuram
FHC Pandikkad 	Pandikkad 	Family Health Centre	0483-2783166 	0	R 	phcpandikkad@gmail.com 	Malappuram
FHC Alancode 	Alancode 	Family Health Centre	0494-2653750 	0	R 	phcalancode@gmail.com 	Malappuram
FHC Parappanangadi 	Parappanangadi 	Family Health Centre	0494-2410709 	0	U 	phcpgdi@gmail.com 	Malappuram
FHC Morayoor 	Morayoor 	Family Health Centre	0483-2774300 	0	R 	mophcmorayoor@gmail.com 	Malappuram
FHC Ponmala 	Ponmala 	Family Health Centre	0483-2706300 	10	R 	mophcponmala@gmail.com 	Malappuram
FHC Pulikkal 	Pulikkal 	Family Health Centre	0483-2790900 	0	R 	phcpulikkal@gmail.com 	Malappuram
FHC Vattamkulam 	Vattamkulam 	Family Health Centre	0494-2689820 	0	R 	mophcvattamkulam@gmail.com 	Malappuram
FHC Ozhoor 	Ozhoor 	Family Health Centre	0494-2489126 	10	R 	mophcozhur@gmail.com 	Malappuram
FHC A.R Nagar ( Kunnumpuram) 	A.R Nagar ( Kunnumpuram) 	Family Health Centre	0494-2494980 	0	R 	mophcarnager@rediffmail.com 	Malappuram
FHC Vazhayur 	Vazhayur 	Family Health Centre	0483-2833687 	10	R 	phcvazhayoor@gmail.com 	Malappuram
FHC Chelembra 	Chelembra 	Family Health Centre	0483-2891880 	0	R 	mophcchelembra@gmail.com 	Malappuram
FHC Kodenchery 	Kodenchery 	Family Health Centre	0495-2237960 	6	R 	phckodancherry@gmail.com 	Kozhikode 
FHC Meppayoor 	Meppayoor 	Family Health Centre	0496-2677505 	24	R 	phcmeppayur@gmail.com 	Kozhikode 
FHC Avala 	Avala 	Family Health Centre	0496-2765050 	0	R 	avalaphc.avala@gmail.com 	Kozhikode 
FHC Beypore 	Beypore 	Family Health Centre	0495-2415303 	6	U 	phcbeypore@gmail.com 	Kozhikode 
FHC Kodiyathoor 	Kodiyathoor 	Family Health Centre	0495-2209399 	24	R 	phckodiyathur@gmail.com 	Kozhikode 
FHC Thiruvambady 	Thiruvambady 	Family Health Centre	0495-2255775 	0	R 	phctbdy@gmail.com 	Kozhikode 
FHC Karassery 	Karassery 	Family Health Centre	0495-2297051 	0	R 	phc.karassery@gmail.com 	Kozhikode 
FHC Koodaranhi 	Koodaranhi 	Family Health Centre	0495-2255715 	0	R 	koodaranhiphc@yahoo.com 	Kozhikode 
FHC Eramangalam 	Eramangalam 	Family Health Centre	0496-2705880 	0	R 	phceramangalam@gmail.com 	Kozhikode 
FHC Panangad 	Panangad 	Family Health Centre	0496-2640066 	0	R 	panangadkkd@gmail.com 	Kozhikode 
FHC Kayanna 	Kayanna 	Family Health Centre	0496-2659568 	0	R 	phckayanna@gmail.com 	Kozhikode 
FHC Atholy 	Atholy 	Family Health Centre	0496-2674898 	6	R 	phcentreatholi@gmail.com 	Kozhikode 
FHC Naduvennur 	Naduvennur 	Family Health Centre	0496-2650870 	0	R 	phcnaduvannur@gmail.com 	Kozhikode 
FHC Changaroth 	Changaroth 	Family Health Centre	0496-2670055 	0	R 	phcchangaroth@gmail.com 	Kozhikode 
FHC Azhiyoor 	Azhiyoor 	Family Health Centre	0496-2502820 	0	R 	phcazhiyur@gmail.com 	Kozhikode 
FHC Madappally 	Madappally 	Family Health Centre	0496-2502170 	0	R 	madappallyphc@gmail.com 	Kozhikode 
FHC Chorode 	Chorode 	Family Health Centre	0496-2514844 	0	R 	phcchorode@gmail.com 	Kozhikode 
FHC Peruvannamoozhy 	Peruvannamoozhy 	Family Health Centre	0496-2662002 	6	R 	phcmoozhi@gmail.com 	Kozhikode 
FHC Keezhriyur 	Keezhriyur 	Family Health Centre	0496-2695818 	0	R 	phckeezhariyur@gmail.com 	Kozhikode 
FHC Pannikottur Colony 	Pannikottur Colony 	Family Health Centre	0496-2248760 	0	R 	phcpannikkottur@gmail.com 	Kozhikode 
FHC Purameri 	Purameri 	Family Health Centre	0496-2581880 	0	R 	phcpuramery@gmail.com 	Kozhikode 
FHC Naripatta 	Naripatta 	Family Health Centre	0496-2447383 	4	R 	phcnarippatta@gmail.com 	Kozhikode 
FHC Vanimel 	Vanimel 	Family Health Centre	0496-2562904 	0	R 	phcvanimel@gmail.com 	Kozhikode 
FHC Chekkyadu 	Chekkyadu 	Family Health Centre	0496-2571965 	0	R 	hichekkiad123@gmail.com 	Kozhikode 
FHC Maruthankara 	Maruthankara 	Family Health Centre	0496-2565530 	0	R 	phcmaruthomkara@gmail.com 	Kozhikode 
FHC Perumanna 	Perumanna 	Family Health Centre	0495-2432240 	0	R 	phcperumanna@gmail.com 	Kozhikode 
FHC Madavoor 	Madavoor 	Family Health Centre	0495-2244094 	0	R 	momadavoor@gmail.com 	Kozhikode 
FHC Kattipara 	Kattipara 	Family Health Centre	0496-2270335 	0	R 	phckattippara@gmail.com 	Kozhikode 
FHC Kolathur 	Kolathur 	Family Health Centre	0495-2456191 	0	R 	phckolathur@gmail.com 	Kozhikode 
FHC Puthiyappa 	Puthiyappa 	Family Health Centre	0495-2460100 	0	U 	phcputhiyappa@gmail.com 	Kozhikode 
FHC Irivalloor 	Irivalloor 	Family Health Centre	0495-2260575 	0	R 	iruvalloorphc@gmail.com 	Kozhikode 
FHC Maniyoor 	Maniyoor 	Family Health Centre	0496-2537350 	0	R 	phcmaniyoor.kunnathukara@gmail.com 	Kozhikode 
FHC Villiappaly 	Villiappaly 	Family Health Centre	0496-2534200 	0	R 	phcvlpy@gmail.com 	Kozhikode 
FHC Moodadi 	Moodadi 	Family Health Centre	0496-2693150 	0	R 	phcmoodadi@gmail.com 	Kozhikode 
FHC Chengottukavu 	Chengottukavu 	Family Health Centre	0496-2960564 	0	R 	phcchengottukavu@gmail.com 	Kozhikode 
FHC Chaliyam 	Chaliyam 	Family Health Centre	0495-2470425 	0	R 	chaliyamphc@gmail.com 	Kozhikode 
FHC GRD Vellimadukunnu 	GRD Vellimadukunnu 	Family Health Centre	0495-2373713 	0	U 	govtdispensaryngoqts@gmail.com 	Kozhikode 
FHC Kunnamangalam 	Kunnamangalam 	Family Health Centre	0495-2965170 	18	R 	mophckglm@gmail.com 	Kozhikode 
FHC Puthuppady 	Puthuppady 	Family Health Centre	0496-2234190 	0	R 	phcputhuppadi@gmail.com 	Kozhikode 
FHC Ramanattukara 	Ramanattukara 	Family Health Centre	0495-2441600 	24	U 	phcramanattukara@gmail. Com 	Kozhikode 
FHC Vadakara 	Vadakara 	Family Health Centre	0496-2515422 	0	U 	phcramanattukara@gmail. Com 	Kozhikode 
FHC Kottoor 	Kottoor 	Family Health Centre	0496-2656675 	0	R 	medicalofficerktr@gmail.com 	Kozhikode 
FHC Nochad 	Nochad 	Family Health Centre	0496-2613344 	0	R 	phcnochadu@gmail.com 	Kozhikode 
FHC Kayakodi 	Kayakodi 	Family Health Centre	0496-2587087 	0	R 	phckayakkodi@gmail.com 	Kozhikode 
FHC Omassery 	Omassery 	Family Health Centre	0495-2282600 	0	R 	phcomassery@gmail.com 	Kozhikode 
FHC Kakkodi 	Kakkodi 	Family Health Centre	0495-2265111 	12	R 	kakkodiphc@gmail.com 	Kozhikode 
FHC Ayanchery 	Ayanchery 	Family Health Centre	0496-2582343 	0	R 	phcayancheri@gmail.com 	Kozhikode 
FHC Arikulam 	Arikulam 	Family Health Centre	0496-2696731 	0	R 	phcakl@gmail.com 	Kozhikode 
FHC Irringal (Kottakkal) 	Irringal (Kottakkal) 	Family Health Centre	0496-2602366 	0	U 	iringalphckottakkal@gmail.com 	Kozhikode 
FHC Edachery 	Edachery 	Family Health Centre	0496-2441115 	0	R 	mophcedachery@gmail.com 	Kozhikode 
FHC Ambalavayal 	Ambalavayal 	Family Health Centre	04936-260130 	34	R 	phc.ambalavayal@gmail.com 	Wayanad
FHC Meppady 	Meppady 	Family Health Centre	04936-282854 	24	R 	bphc.meppady@gmail.com 	Wayanad
FHC Edavaka 	Edavaka 	Family Health Centre	04935-245605 	24	R 	phc.edavaka@gmail.com 	Wayanad
FHC Vellamunda 	Vellamunda 	Family Health Centre	04935-230562 	10	R 	phc.vellamunda@gmail.com 	Wayanad
FHC Cheeral 	Cheeral 	Family Health Centre	04936-262216 	24	R 	phc.cheeral@gmail.com 	Wayanad
FHC Vazhavatta 	Vazhavatta 	Family Health Centre	04936-249495 	10	R 	phc.vazhavatta2@gmail.com 	Wayanad
FHC Kurukanmoola 	Kurukanmoola 	Family Health Centre	04935-215230 	0	U 	phc.kurukkanmoola@gmail.com 	Wayanad
FHC Thondernad 	Thondernad 	Family Health Centre	04935-235909 	0	R 	phc.thondernad@gmail.com 	Wayanad
FHC Begur (Forest) 	Begur (Forest) 	Family Health Centre	04935-250758 	0	R 	phc.begur@gmail.com 	Wayanad
FHC Sugandhagiry 	Sugandhagiry 	Family Health Centre	04936-257053 	0	R 	phc.sugandhagiri@gmail.com 	Wayanad
FHC Pozhuthana 	Pozhuthana 	Family Health Centre	04936-256455 	0	R 	phc.pozhuthana@gmail.com 	Wayanad
FHC Kottathara 	Kottathara 	Family Health Centre	04936-250539 	0	R 	phc.kottathara@gmail.com 	Wayanad
FHC Padinharathara 	Padinharathara 	Family Health Centre	04936-230285 	0	R 	phc.padinjarathara@gmail.com 	Wayanad
FHC Pakkom 	Pakkom 	Family Health Centre	04936-244011 	0	R 	phc.pakkom@gmail.com 	Wayanad
FHC Chethalayam 	Chethalayam 	Family Health Centre	04936-238007 	0	U 	phc.chethalayam@gmail.com 	Wayanad
